crawl_timestamp,product_name,product_category,retail_price,discounted_price,discount_price,discount_percentage,product_rating,overall_rating,brand
2015-12-15,Wrogn Solid Men's Polo Neck T,Clothing,1399,979,420,30,0,0,
2015-12-15,Wolf Printed Men's Polo Neck T,Clothing,765,699,66,9,0,0,
2015-12-15,Wrangler Printed Men's Round Neck T,Clothing,995,995,0,0,4,4,
2015-12-15,Wecart Graphic Print Men's V,Clothing,1299,499,800,62,0,0,
2015-12-15,Wrogn Solid Men's Round Neck T,Clothing,1099,989,110,10,0,0,
2015-12-15,White Kalia Graphic Print Men's Round Neck T,Clothing,699,299,400,57,4.7,4.7,
2015-12-15,Wells Smith Solid Men's Polo T,Clothing,999,399,600,60,0,0,
2015-12-15,Weaverfinch Solid Men's Round Neck T,Clothing,299,199,100,33,0,0,
2015-12-15,Webplaza Printed Men's Round Neck T,Clothing,599,299,300,50,0,0,
2015-12-15,Winfield Printed Men's Round Neck T,Clothing,450,260,190,42,0,0,
2015-12-15,Well on Embroidered Men's Polo Neck T,Clothing,600,380,220,37,5,5,
2015-12-15,Wrangler Printed Men's Round Neck T,Clothing,1195,956,239,20,0,0,
2015-12-15,Weardo Solid Men's Polo Neck T,Clothing,2097,799,1298,62,0,0,
2015-12-15,Wrangler Solid Men's V,Clothing,695,695,0,0,3,3,
2015-12-15,Whistle Solid Men's Round Neck T,Clothing,999,199,800,80,0,0,
2015-12-15,White Kalia Printed Men's Round Neck T,Clothing,699,299,400,57,0,0,
2015-12-15,Wrogn Solid Men's Round Neck T,Clothing,799,399,400,50,0,0,
2015-12-15,Wrogn Solid Men's V,Clothing,899,449,450,50,5,5,
2016-04-13,FIFO Bottom Women's  Combo,Clothing,2398,1199,1199,50,0,0,FIFO
2016-04-13,Be 13 Printed Baby Boy's Round Neck T,Clothing,1099,519,580,53,0,0,Be 13
2016-04-13,AntiqueShop ABKL_GRN,Beauty and Personal Care,299,199,100,33,0,0,AntiqueShop
2016-04-13,AntiqueShop ABKL_PL_PL_PL,Beauty and Personal Care,599,349,250,42,0,0,AntiqueShop
2016-04-13,Gkidz Boy's Vest,Clothing,699,249,450,64,0,0,Gkidz
2016-04-13,GALLOWAY skinny Fit Women's Jeans,Clothing,6599,1499,5100,77,0,0,GALLOWAY
2016-04-13,AntiqueShop ABKL_GRN_GRN_GRN,Beauty and Personal Care,599,349,250,42,0,0,AntiqueShop
2016-04-13,GALLOWAY skinny Fit Women's Jeans,Clothing,4399,1099,3300,75,0,0,GALLOWAY
2016-04-13,AntiqueShop ABKL_PL_PNK_PNK,Beauty and Personal Care,599,349,250,42,0,0,AntiqueShop
2016-04-13,United Colors of Benetton Printed Round Neck T,Clothing,899,539,360,40,0,0,United Colors of Benetton
2016-04-13,GALLOWAY skinny Fit Women's Jeans,Clothing,6599,1599,5000,76,0,0,GALLOWAY
2016-04-13,AntiqueShop ABKL_PL_PL_PNK,Beauty and Personal Care,599,349,250,42,0,0,AntiqueShop
2016-04-13,Esteem Boy's Drawer,Clothing,800,415,385,48,5,5,Esteem
2016-04-13,GALLOWAY skinny Fit Women's Jeans,GALLOWAY skinny Fit Women s Jeans,6599,1599,5000,76,0,0,GALLOWAY
2016-04-13,Dremel 2615.023.132 Plastic Friction Work Bench Cabinet,Dremel 2615 023 132 Plastic Friction Work Bench,6500,4999,1501,23,0,0,Dremel
2016-04-13,Bodycare Boy's Vest,Clothing,594,594,0,0,0,0,Bodycare
2016-04-13,Britex BT9026 Bluetec Bucherer Analog Watch,Watches,2499,799,1700,68,0,0,Britex
2016-04-13,GALLOWAY skinny Fit Women's Jeans,GALLOWAY skinny Fit Women s Jeans,4399,1099,3300,75,0,0,GALLOWAY
2016-04-13,Bodycare Boy's Vest,Clothing,460,460,0,0,0,0,Bodycare
2016-04-13,StyloFashionGarments slim Fit Women's Jeans,Clothing,1295,698,597,46,5,5,StyloFashionGarments
2016-04-13,GINI & JONY Solid Baby Boy's Round Neck T,Clothing,349,349,0,0,0,0,GINI & JONY
2016-04-13,United Colors of Benetton Printed Round Neck T,Clothing,699,419,280,40,0,0,United Colors of Benetton
2016-06-07,BagsHub Women Black PU Clutch,Bags Wallets Belts,2299,1399,900,39,0,0,BagsHub
2016-06-07,Triveni Women Pink Rexine Sling Bag,Bags Wallets Belts,1250,500,750,60,0,0,Triveni
2016-06-26,Sanaa Creations Alloy Ring,Jewellery,799,479,320,40,0,0,Sanaa Creations
2016-06-26,ULTRAVISION Full Rim Round Frame,Eyewear,790,632,158,20,0,0,ULTRAVISION
2016-06-26,brass gift center Showpiece,Home Decor Festive Needs,7999,4550,3449,43,0,0,brass gift center
2016-06-26,Sanaa Creations Alloy Ring,Jewellery,899,539,360,40,0,0,Sanaa Creations
2016-06-26,Zobello Slim Fit Men's Grey Trousers,Clothing,1099,1099,0,0,0,0,Zobello
2016-06-26,VINSON LONDON Full Rim Oval Frame,Eyewear,2299,599,1700,74,0,0,VINSON LONDON
2016-06-26,Silvesto India Stone Pearl Silver Ring,Jewellery,698,349,349,50,0,0,Silvesto India
2016-06-26,"ABEEZ Boys, Men, Girls",ABEEZ Boys Men Girls Black Pack of 1,399,289,110,28,0,0,ABEEZ
2016-06-26,ColorPlus Slim Fit Men's Black Trousers,Clothing,2495,2495,0,0,0,0,ColorPlus
2016-06-26,VINSON LONDON Full Rim Oval Frame,Eyewear,1999,449,1550,78,0,0,VINSON LONDON
2016-06-26,Park Avenue Regular Fit Men's Brown Trousers,Clothing,1799,1799,0,0,0,0,Park Avenue
2016-06-26,Sanaa Creations Alloy Ring,Jewellery,799,539,260,33,0,0,Sanaa Creations
2016-01-02,PrettySecrets Women's,Clothing,999,999,0,0,0,0,
2016-01-02,Satynam Women's Nighty,Clothing,999,699,300,30,0,0,
